section,year participation,gallery city,gallery name,link
Art Dubai Contemporary,2023,Beirut / Hamburg,Sfeir-Semler Gallery,<https://www.artdubai.ae/gallery/sfeir-semler-gallery-2023/>
Art Dubai Contemporary,2023,New Delhi,Shrine Empire,<https://www.artdubai.ae/gallery/shrine-empire-2023/>
Art Dubai Contemporary,2023,Brussels / Paris,Stems Gallery,<https://www.artdubai.ae/gallery/stems-gallery-2023/>
Art Dubai Contemporary,2023,Bologna,Galleria Studio G7,<https://www.artdubai.ae/gallery/galleria-studio-g7-2023/>
Art Dubai Contemporary,2023,Dubai,Tabari Artspace,<https://www.artdubai.ae/gallery/tabariartspace-2023/>
Art Dubai Contemporary,2023,Dubai,Tashkeel,<https://www.artdubai.ae/gallery/tashkeel-2023/>
Art Dubai Contemporary,2023,Dubai,The Third Line,<https://www.artdubai.ae/gallery/the-third-line-2023/>
Art Dubai Contemporary,2023,Berlin,Galerie Barbara Thumm,<https://www.artdubai.ae/gallery/galerie-barbara-thumm-2023/>
Art Dubai Contemporary,2023,Amman,Wadi Finan Art Gallery,<https://www.artdubai.ae/gallery/wadi-finan-art-gallery-2023/>
Art Dubai Contemporary,2023,Tblisi,The Why Not Gallery,<https://www.artdubai.ae/gallery/the-why-not-gallery-2023/>
Art Dubai Contemporary,2023,Istanbul,x-ist,<https://www.artdubai.ae/gallery/x-ist-2023/>
Art Dubai Contemporary,2023,Madrid / Malaga,Yusto / Giner,<https://www.artdubai.ae/gallery/yusto-giner-2023-2/>
Art Dubai Contemporary,The Rooster Gallery,,,<https://www.artdubai.ae/gallery/the-rooster-gallery-2023/>2023
Art Dubai Contemporary,2023,Dubai / Ramallah,Zawyeh Gallery,<https://www.artdubai.ae/gallery/zawyeh-gallery-2023/>
Art Dubai Contemporary,2023,Dubai / Luxembourg / Paris,Zidoun-Bossuyt Gallery,<https://www.artdubai.ae/gallery/zidoun-bossuyt-gallery-2023/>
Art Dubai Contemporary,2023,Berlin / Istanbul,Zilberman Gallery,<https://www.artdubai.ae/gallery/zilberman-gallery-2023/>
Art Dubai Contemporary,2024,Accra / London,Gallery 1957,<https://www.artdubai.ae/gallery/gallery-1957/>
Art Dubai Contemporary,2024,New York,Aicon,<https://www.artdubai.ae/gallery/aicon-gallery-2024/>
Art Dubai Contemporary,2024,Mumbai,Akara Contemporary,<https://www.artdubai.ae/gallery/akara-contemporary-2024/>
Art Dubai Contemporary,2024,Dubai / Venice,AKKA Project,<https://www.artdubai.ae/gallery/akka-project/>
Art Dubai Contemporary,2024,Dubai,Aisha Alabbar Gallery,<https://www.artdubai.ae/gallery/aisha-alabbar-gallery-2024/>
Art Dubai Contemporary,2024,Madrid,ALBARRÁN BOURDAIS,<https://www.artdubai.ae/gallery/albarran-bourdais-2/>
Art Dubai Contemporary,2024,Madrid,Sabrina Amrani,<https://www.artdubai.ae/gallery/sabrina-amrani-2024/>
Art Dubai Contemporary,2024,Paris / Stockholm,Andréhn-Schiptjenko,<https://www.artdubai.ae/gallery/andrehn-schiptjenko-2024/>
Art Dubai Contemporary,2024,Paris,Art: Concept,<https://www.artdubai.ae/gallery/art-concept-2024/>
Art Dubai Contemporary,2024,Almaty,Aspan Gallery,<https://www.artdubai.ae/gallery/aspan-gallery-2024/>
Art Dubai Contemporary,2024,AlUla / Jeddah / Riyadh,ATHR,<https://www.artdubai.ae/gallery/athr-2024-2/>
Art Dubai Contemporary,2024,Dubai,Ayyam Gallery,<https://www.artdubai.ae/gallery/ayyam-gallery-2024/>
Art Dubai Contemporary,2024,Beirut,Saleh Barakat Gallery,<https://www.artdubai.ae/gallery/saleh-barakat-gallery-2024/>
Art Dubai Contemporary,2024,Bodrum / Dubai / Paris,Bastok Lessel,<https://www.artdubai.ae/gallery/bastok-lessel/>
Art Dubai Contemporary,2024,Bergamo,Thomas Brambilla,<https://www.artdubai.ae/gallery/thomas-brambilla-2024-2/>
Art Dubai Contemporary,2024,Dubai,CARBON 12,<https://www.artdubai.ae/gallery/carbon-12-2024/>
Art Dubai Contemporary,2024,Mumbai,Chemould Prescott Road,<https://www.artdubai.ae/gallery/chemould-prescott-road-2024/>
Art Dubai Contemporary,2024,Marrakech,Comptoir des Mines Gallerie,<https://www.artdubai.ae/gallery/comptoir-des-mines-gallerie-2024/>
Art Dubai Contemporary,2024,Several locations,Galleria Continua,<https://www.artdubai.ae/gallery/galleria-continua-2024/>
Art Dubai Contemporary,2024,Dubai,Custot Gallery,<https://www.artdubai.ae/gallery/custot-gallery-2024/>
Art Dubai Contemporary,2024,Tehran / Toronto,Dastan Gallery,<https://www.artdubai.ae/gallery/dastan-24/>
Art Dubai Contemporary,2024,Amman,Wadi Finan Art Gallery,<https://www.artdubai.ae/gallery/wadifinanartgallery/>
Art Dubai Contemporary,2024,Dubai,Efie Gallery,<https://www.artdubai.ae/gallery/efie-24/>
