airport_id,city,name,latitude,longitude,country,iata,icao,altitude,altitude,timezone,dst,tz
2473,Monte Caseros,Monte Caseros Airport,-30.2719,-57.6402,Argentina,\N,SARM,170,-3,N,America/Cordoba,airport
2448,Moron,Moron Airport,-34.6763,-58.6428,Argentina,\N,SADM,95,-3,N,America/Buenos_Aires,airport
6033,Necochea,Necochea Airport,-38.4831,-58.8172,Argentina,NEC,SAZO,72,-3,N,America/Buenos_Aires,airport
2483,Obera,Oberá Airport,-27.51819992,-55.12419891,Argentina,\N,SATO,1125,-3,N,America/Cordoba,airport
2503,Olavarria,Olavarria Airport,-36.88999939,-60.21659851,Argentina,\N,SAZF,551,-3,N,America/Buenos_Aires,airport
2478,Oran,Orán Airport,-23.15279961,-64.32920074,Argentina,ORA,SASO,1171,-3,N,America/Argentina/Salta,airport
2472,Paso De Los Libres,Paso De Los Libres Airport,-29.6894,-57.1521,Argentina,AOL,SARL,230,-3,N,America/Cordoba,airport
2499,Perito Moreno,Perito Moreno Airport,-46.53789902,-70.97869873,Argentina,PMQ,SAWP,1410,-3,N,America/Argentina/Rio_Gallegos,airport
2496,Rio Gallegos,Piloto Civil N. Fernández Airport,-51.6089,-69.3126,Argentina,RGL,SAWG,61,-3,N,America/Argentina/Rio_Gallegos,airport
11929,Villa Maria,Presidente Néstor Kirchner Regionsl Airport,-32.3201,-63.22663,Argentina,VMR,SAOV,670,\N,\N,\N,airport
2509,Neuquen,Presidente Peron Airport,-38.94900131,-68.15570068,Argentina,NQN,SAZN,895,-3,N,America/Argentina/Salta,airport
2494,Puerto Deseado,Puerto Deseado Airport,-47.7353,-65.9041,Argentina,PUD,SAWD,268,-3,N,America/Argentina/Rio_Gallegos,airport
2484,Reconquista,Reconquista Airport,-29.2103,-59.68,Argentina,\N,SATR,160,-3,N,America/Cordoba,airport
2469,Resistencia,Resistencia International Airport,-27.45,-59.0561,Argentina,RES,SARE,173,-3,N,America/Cordoba,airport
7222,Rincon de los Sauces,Rincon De Los Sauces Airport,-37.3905983,-68.90419769,Argentina,RDS,SAHS,1968,-3,N,America/Argentina/Salta,airport
2513,San Carlos De Bariloche,San Carlos De Bariloche Airport,-41.15119934,-71.15750122,Argentina,BRC,SAZS,2774,-3,N,America/Argentina/Salta,airport
2445,San Fernando,San Fernando Airport,-34.4532,-58.5896,Argentina,\N,SADF,10,-3,N,America/Buenos_Aires,airport
2500,Santa Cruz,Santa Cruz Airport,-50.0165,-68.5792,Argentina,RZA,SAWU,364,-3,N,America/Argentina/Rio_Gallegos,airport
2512,Santa Rosa,Santa Rosa Airport,-36.588299,-64.275703,Argentina,RSA,SAZR,630,-3,N,America/Argentina/Salta,airport
6032,Santa Teresita,Santa Teresita Airport,-36.5423,-56.7218,Argentina,SST,SAZL,9,-3,N,America/Buenos_Aires,airport
2441,Santa Fe,Sauce Viejo Airport,-31.7117,-60.8117,Argentina,SFN,SAAV,55,-3,N,America/Cordoba,airport
7229,Sierra Grande,Sierra Grande Airport,-41.59170151,-65.33940125,Argentina,SGV,SAVS,688,-3,N,America/Argentina/Salta,airport
2454,San Rafael,Suboficial Ay Santiago Germano Airport,-34.588299,-68.4039,Argentina,AFA,SAMR,2470,-3,N,America/Mendoza,airport
2460,Tucuman,Teniente Benjamin Matienzo Airport,-26.8409,-65.104897,Argentina,TUC,SANT,1493,-3,N,America/Argentina/Tucuman,airport
8914,Rio Hondo,Termas de Río Hondo international Airport,-27.4966,-64.93595,Argentina,RHD,SANR,935,-3,S,America/Cordoba,airport
2457,Tinogasta,Tinogasta Airport,-28.03779984,-67.58029938,Argentina,\N,SANI,3968,-3,N,America/Catamarca,airport
11433,Tolhuin,Tolwin Observatory Airport,-54.52190018,-67.1989975,Argentina,\N,SAWL,90,-3,S,\N,airport
2505,Tres Arroyos,Tres Arroyos Airport,-38.3869,-60.3297,Argentina,\N,SAZH,400,-3,N,America/Buenos_Aires,airport
2456,Santiago Del Estero,Vicecomodoro Angel D. La Paz Aragonés Airport,-27.76555634,-64.30999756,Argentina,SDE,SANE,656,-3,N,America/Cordoba,airport
2463,Villa Dolores,Villa Dolores Airport,-31.94519997,-65.14630127,Argentina,VDR,SAOD,1847,-3,N,America/Cordoba,airport
2515,Villa Gesell,Villa Gesell Airport,-37.2354,-57.0292,Argentina,VLG,SAZV,32,-3,N,America/Buenos_Aires,airport
2466,Villa Reynolds,Villa Reynolds Airport,-33.72990036,-65.38739777,Argentina,\N,SAOR,1591,-3,N,America/Argentina/San_Luis,airport
7221,ZAPALA,Zapala Airport,-38.975498,-70.113602,Argentina,APZ,SAHZ,3330,-3,N,America/Argentina/Salta,airport
11955,Dzhermuk,Dzhermuk Airport,39.82400131,45.67399979,Armenia,\N,UGEJ,0,\N,\N,\N,airport
