lumbung membersartists,country,venue,"type  (individual, collective,)","status  (invited artist,guest artist, guest collaborator)",number of guests,invited by / invited as part of,comments/ subproject,website,role (harvester),guests
Nina Kanitz,,,individual,guest artist,,Graziela Kunsch,,,,
Patricia Lima Zahn,,,individual,guest artist,,Graziela Kunsch,,,,
Paulo Fochi,,,individual,guest artist,,Graziela Kunsch,,,,
Pikler® House,,,individual,guest artist,,Graziela Kunsch,,,,
Plackner Werkstatt für Spiel + Pädagogik,,,individual,guest artist,,Graziela Kunsch,,,,
Public Daycare,,,individual,guest artist,,Graziela Kunsch,,,,
Schreinerei Oetken,,,individual,guest artist,,Graziela Kunsch,,,,
Silvana Santos,,,individual,guest artist,,Graziela Kunsch,,,,
Strandgut,,,individual,guest artist,,Graziela Kunsch,,,,
Suzana Macedo Soares,,,individual,guest artist,,Graziela Kunsch,,,,
Tomas Opitz,,,individual,guest artist,,Graziela Kunsch,,,,
Ute Strub,,,individual,guest artist,,Graziela Kunsch,,,,
Jumana Emil Abboud,Palestine,Fridericianum  /  Grimmwelt Kassel /NordstadtPark/,individual,invited artist,30,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/jumana-emil-abboud/>,,
Tareq Abboushi,,,individual,guest artist,,Jumana Emil Abboud,,,,
Ali Shneina (Abu Jum’a),,,individual,guest artist,,Jumana Emil Abboud,,,,
Lydia Antoniou,,,individual,guest artist,,Jumana Emil Abboud,,,,
Ishraq Awashra,,,individual,guest artist,,Jumana Emil Abboud,,,,
Ayoub Yacoub,,,individual,guest artist,,Jumana Emil Abboud,,,,
Canaan Mazar’a (Abu Ibrahim),,,individual,guest artist,,Jumana Emil Abboud,,,,
Sa’ad Dagher,,,individual,guest artist,,Jumana Emil Abboud,,,,
Mounya Elbakay,,,individual,guest artist,,Jumana Emil Abboud,,,,
Issa Freij,,,individual,guest artist,,Jumana Emil Abboud,,,,
Yasmine Haj,,,individual,guest artist,,Jumana Emil Abboud,,,,
Amal Hajjaj,,,individual,guest artist,,Jumana Emil Abboud,,,,
Jumana Emil Abboud,,,individual,guest artist,,Jumana Emil Abboud,,,,
Amany Kattom,,,individual,guest artist,,Jumana Emil Abboud,,,,
Salma Kharouba,,,individual,guest artist,,Jumana Emil Abboud,,,,
Lama Khatib,,,individual,guest artist,,Jumana Emil Abboud,,,,
Danna Masad,,,individual,guest artist,,Jumana Emil Abboud,,,,
Zeina Nedal,,,individual,guest artist,,Jumana Emil Abboud,,,,
Sourabh Phadke,,,individual,guest artist,,Jumana Emil Abboud,,,,
Sahar Qawasmi,,,individual,guest artist,,Jumana Emil Abboud,,,,
Rahaf ‘Alqem,,,individual,guest artist,,Jumana Emil Abboud,,,,
Yazan Salem,,,individual,guest artist,,Jumana Emil Abboud,,,,
Raghad Saqfalhait,,,individual,guest artist,,Jumana Emil Abboud,,,,
Anna Sherbany,,,individual,guest artist,,Jumana Emil Abboud,,,,
Nida Sinnokrot,,,individual,guest artist,,Jumana Emil Abboud,,,,
Suha ‘Atta ‘Alqam,,,individual,guest artist,,Jumana Emil Abboud,,,,
Tabaraq ‘Alqem,,,individual,guest artist,,Jumana Emil Abboud,,,,
Layla Taher,,,individual,guest artist,,Jumana Emil Abboud,,,,
Thurayya Shneina (Um Jum’a),,,individual,guest artist,,Jumana Emil Abboud,,,,
Yusef Yacoub (Abu Omar),,,individual,guest artist,,Jumana Emil Abboud,,,,
Haifa Zalatimo,,,individual,guest artist,,Jumana Emil Abboud,,,,
Centre d’art Waza,Congo,Fridericianum,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/centre-dart-waza/>,,
Agathon Kakusa,,,individual,guest artist,,Centre d’art Waza,,,,
Bodil Furu,,,individual,guest artist,,Centre d’art Waza,,,,
Bram Goots,,,individual,guest artist,,Centre d’art Waza,,,,
Cecile Mwepu,,,individual,guest artist,,Centre d’art Waza,,,,
Chadrack Kakule,,,individual,guest artist,,Centre d’art Waza,,,,
Chriss Kabongo,,,individual,guest artist,,Centre d’art Waza,,,,
Christelle Ntanga,,,individual,guest artist,,Centre d’art Waza,,,,
Christian Nyampeta,,,individual,guest artist,,Centre d’art Waza,,,,
Damien Kahambwe,,,individual,guest artist,,Centre d’art Waza,,,,
Denise Maheho,,,individual,guest artist,,Centre d’art Waza,,,,
Feza Kayungu,,,individual,guest artist,,Centre d’art Waza,,,,
Guellord Mbolela,,,individual,guest artist,,Centre d’art Waza,,,,
IIunga Kangalele Richard,,,individual,guest artist,,Centre d’art Waza,,,,
Jean-Guy Mbopey,,,individual,guest artist,,Centre d’art Waza,,,,
Jeanne IIunga,,,individual,guest artist,,Centre d’art Waza,,,,
Joseph Kasau,,,individual,guest artist,,Centre d’art Waza,,,,
Kabala Mwana Mbuyi Adamo,,,individual,guest artist,,Centre d’art Waza,,,,
Kabulo Kazadi Richard,,,individual,guest artist,,Centre d’art Waza,,,,
Kazadi Kapenda Richard,,,individual,guest artist,,Centre d’art Waza,,,,
Leon Verbeek,,,individual,guest artist,,Centre d’art Waza,,,,
Lubange Wa Kangalele,,,individual,guest artist,,Centre d’art Waza,,,,
Lumbwe Kafwana Laurent,,,individual,guest artist,,Centre d’art Waza,,,,
Lumuna Ndala,,,individual,guest artist,,Centre d’art Waza,,,,
Maman Kisimba,,,individual,guest artist,,Centre d’art Waza,,,,
Maya Van Leemput,,,individual,guest artist,,Centre d’art Waza,,,,
Michel Kasongo,,,individual,guest artist,,Centre d’art Waza,,,,
Mwewa Kasongo,,,individual,guest artist,,Centre d’art Waza,,,,
Nadine Pena,,,individual,guest artist,,Centre d’art Waza,,,,
Naomie Monga Masengo,,,individual,guest artist,,Centre d’art Waza,,,,
Nontobeko Ntombel,,,individual,guest artist,,Centre d’art Waza,,,,
Olivier Bwihangane,,,individual,guest artist,,Centre d’art Waza,,,,
Patrick Mudekereza,,,individual,guest artist,,Centre d’art Waza,,,,
Pierre Kahenga,,,individual,guest artist,,Centre d’art Waza,,,,
Prodige Makonga,,,individual,guest artist,,Centre d’art Waza,,,,
Raphael Salumu,,,individual,guest artist,,Centre d’art Waza,,,,
Rene Ngombe,,,individual,guest artist,,Centre d’art Waza,,,,
Richard Mbuyu,,,individual,guest artist,,Centre d’art Waza,,,,
Rita Mukebo,,,individual,guest artist,,Centre d’art Waza,,,,
Samuel Luenberger,,,individual,guest artist,,Centre d’art Waza,,,,
Sari Middernacht,,,individual,guest artist,,Centre d’art Waza,,,,
Stephane Kabila,,,individual,guest artist,,Centre d’art Waza,,,,
Tresor Makonga,,,individual,guest artist,,Centre d’art Waza,,,,
Veronique Poverello,,,individual,guest artist,,Centre d’art Waza,,,,
Keleketla! Library,South Africa,Fridericianum,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/keleketla-library/>,,
Malahlela Malose,,,individual,guest artist,,Keleketla! Library,,,,
Hlasane Rangoato,,,individual,guest artist,,Keleketla! Library,,,,
Taring Padi,Indonesia,C&A Facade/ Friedrichsplatz,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/taring-padi/>,,
Fitriani Dwi Kurniasih,,,individual,guest artist,,Taring Padi,,,,
Dodi Irwandi,,,individual,guest artist,,Taring Padi,,,,
Sri Maryato,,,individual,guest artist,,Taring Padi,,,,
Yusuf Mohammad,,,individual,guest artist,,Taring Padi,,,,
Hestu Nugroho,,,individual,guest artist,,Taring Padi,,,,
Aris Prabawa,,,individual,guest artist,,Taring Padi,,,,
Budhi Prakoso,,,individual,guest artist,,Taring Padi,,,,
Nur Seto Setiawan,,,individual,guest artist,,Taring Padi,,,,
Alexander Supartono,,,individual,guest artist,,Taring Padi,,,,
Lidija Triana Dewi,,,individual,guest artist,,Taring Padi,,,,
Bayu Widodo,,,individual,guest artist,,Taring Padi,,,,
Surya Wirawan,,,individual,guest artist,,Taring Padi,,,,
Dhomas Yudhistira Sugijanto,,,individual,guest artist,,Taring Padi,,,,
Atis Rezistans | Ghetto Biennale,Haiti,St Kunigundis,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/atis-rezistans-ghetto-biennale/>,,
Adriana Benjamin,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Andre Eugene,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Bastian Hagedorn,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Camile Chedda,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Carima Neusser,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Catherina Barich,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Demar Brackenridge,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
DualForces Los Angeles,,,collective,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Edouard Duval-Carrie,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Elizabeth Woodroffe,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Evel Romain,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Henrike Naumann,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Herold Pierre Louis,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Jean Claude Saintilus,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Jean Jonas Labaze,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Jean Louis Huhta,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Jean Muller Milord,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Jean Robert Palenquet,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Jerry Reginald Chery,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
John Cussans,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Katelyn Alexis,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Laura Heyman,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Leah Gordon,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Londel Innocent,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Louis Kervans,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Mario Pierre Louis,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Martina Vanin,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Michel Lafleur,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Nanne Buurman,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Patrick Elie,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Pedro Lasch,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Roberto N Peyre,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Sheldon Green,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Simon Benjamin,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Tom Bogaert,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Vivian Chan,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Wesner Bazile,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Whit Forrester,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Wilerme Tegenis,,,individual,guest artist,,Atis Rezistans | Ghetto Biennale,,,,
Asia Art Archive,Hong Kong,Fridericianum,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/asia-art-archive/>,,
Arahmaiani,,,individual,guest artist,,Asia Art Archive,,,,
Aung Ko,,,individual,guest artist,,Asia Art Archive,,,,
Josef Ng,,,individual,guest artist,,Asia Art Archive,,,,
Jyoti Bhatt,,,individual,guest artist,,Asia Art Archive,,,,
K.G. Subramanyan,,,individual,guest artist,,Asia Art Archive,,,,
Karla Sachse,,,individual,guest artist,,Asia Art Archive,,,,
Ko Siu Lan,,,individual,guest artist,,Asia Art Archive,,,,
Lawan Jirasuradej,,,individual,guest artist,,Asia Art Archive,,,,
Lee Wen,,,individual,guest artist,,Asia Art Archive,,,,
Ma Liuming,,,individual,guest artist,,Asia Art Archive,,,,
Maung San Oo,,,individual,guest artist,,Asia Art Archive,,,,
Moe Satt,,,individual,guest artist,,Asia Art Archive,,,,
Nilima Sheikh,,,individual,guest artist,,Asia Art Archive,,,,
Nitaya Ueareeworakul,,,individual,guest artist,,Asia Art Archive,,,,
On-Anong Glinsiri,,,individual,guest artist,,Asia Art Archive,,,,
Phaptawan Suwannakudt,,,individual,guest artist,,Asia Art Archive,,,,
Phyu Mon,,,individual,guest artist,,Asia Art Archive,,,,
Ray Langenbach,,,individual,guest artist,,Asia Art Archive,,,,
Sanmu,,,individual,guest artist,,Asia Art Archive,,,,
Shu Yan,,,individual,guest artist,,Asia Art Archive,,,,
Varsha Nair,,,individual,guest artist,,Asia Art Archive,,,,
Womanifesto,,,individual,guest artist,,Asia Art Archive,,,,
Britto Arts Trust,Bangladesh,documentaHalle,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/britto-arts-trust/>,,
Khabia Areg,,,individual,guest artist,,Britto Arts Trust,,,,
Md. Aminul Islam,,,individual,guest artist,,Britto Arts Trust,,,,
Md. Khairul Alam,,,individual,guest artist,,Britto Arts Trust,,,,
Md. Abu Sayed Ali,,,individual,guest artist,,Britto Arts Trust,,,,
Md. Esahak Ali,,,individual,guest artist,,Britto Arts Trust,,,,
Md. Kased Ali,,,individual,guest artist,,Britto Arts Trust,,,,
Md. Abba Ali,,,individual,guest artist,,Britto Arts Trust,,,,
Md. Saheb Ali,,,individual,guest artist,,Britto Arts Trust,,,,
Rakibul Anwar,,,individual,guest artist,,Britto Arts Trust,,,,
Milton Anwar,,,individual,guest artist,,Britto Arts Trust,,,,
Geeta Rani Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Tuton Chandra Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Ashik Chandra Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Biplob Chandra Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Anjali Rani Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Rupe Chandra Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Suhel Chandra Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Sonji Rani Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Parpoti Rani Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Monju Rani Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Hiru Chandra Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Muchu Chnadra Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Dipaly Rani Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Boidya Chandra Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Bogi Rani Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Prakash Chandra Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Shila Rani Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Shimul Chandra Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Gautam Chandra Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Tara Rani Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Babita Rani Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Mani Chandra Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Shuren Chandra Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Pushpa Rani Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Munna Chandra Barman,,,individual,guest artist,,Britto Arts Trust,,,,
Tayeba Begum Lipi,,,individual,guest artist,,Britto Arts Trust,,,,
Alok Raj Bongshi,,,individual,guest artist,,Britto Arts Trust,,,,
Bithul Chicham,,,individual,guest artist,,Britto Arts Trust,,,,
Ostina Chiran,,,individual,guest artist,,Britto Arts Trust,,,,
Tapan C. Das,,,individual,guest artist,,Britto Arts Trust,,,,
Biswajit Das,,,individual,guest artist,,Britto Arts Trust,,,,
Bipin Das,,,individual,guest artist,,Britto Arts Trust,,,,
Tishanker Das,,,individual,guest artist,,Britto Arts Trust,,,,
Ashim Das,,,individual,guest artist,,Britto Arts Trust,,,,
Bishwarup Das,,,individual,guest artist,,Britto Arts Trust,,,,
Shakil Das,,,individual,guest artist,,Britto Arts Trust,,,,
Sobuj Das,,,individual,guest artist,,Britto Arts Trust,,,,
Sajib Das,,,individual,guest artist,,Britto Arts Trust,,,,
Prasenjit Das,,,individual,guest artist,,Britto Arts Trust,,,,
Adhir Das,,,individual,guest artist,,Britto Arts Trust,,,,
Jiban Chandra Das,,,individual,guest artist,,Britto Arts Trust,,,,
Gopal Chandra Das,,,individual,guest artist,,Britto Arts Trust,,,,
Pritan Chandra Das,,,individual,guest artist,,Britto Arts Trust,,,,
Mani Shanker Das,,,individual,guest artist,,Britto Arts Trust,,,,
Jubaraj Das,,,individual,guest artist,,Britto Arts Trust,,,,
Pankaj Das,,,individual,guest artist,,Britto Arts Trust,,,,
Jhulon Das,,,individual,guest artist,,Britto Arts Trust,,,,
Shattarup Das,,,individual,guest artist,,Britto Arts Trust,,,,
Sudhir Chandra Das,,,individual,guest artist,,Britto Arts Trust,,,,
Shimul Datta,,,individual,guest artist,,Britto Arts Trust,,,,
Shrimoti Devi,,,individual,guest artist,,Britto Arts Trust,,,,
Lakshmi Devi,,,individual,guest artist,,Britto Arts Trust,,,,
Provat Dlopo,,,individual,guest artist,,Britto Arts Trust,,,,
Md. Lal Maud Fakir,,,individual,guest artist,,Britto Arts Trust,,,,
Anisuzzaman Faroque,,,individual,guest artist,,Britto Arts Trust,,,,
Farhana Ferdausi,,,individual,guest artist,,Britto Arts Trust,,,,
Tarun Ghosh,,,individual,guest artist,,Britto Arts Trust,,,,
Subol Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Ajit Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Sindhubala Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Arti Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Sopna Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Dron Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Selim Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Bithi Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Subitra Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Bhim Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Binjuli Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Bondona Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Shanta Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Shikha Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Jhuma Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Jontu Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Chahela Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Binoy Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Dipaly Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Biswajit Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Jitu Hajong,,,individual,guest artist,,Britto Arts Trust,,,,
Ashim Halder,,,individual,guest artist,,Britto Arts Trust,,,,
Saidul Haque Juise,,,individual,guest artist,,Britto Arts Trust,,,,
Mehedi Hasan,,,individual,guest artist,,Britto Arts Trust,,,,
Emdadul Hoque Topu,,,individual,guest artist,,Britto Arts Trust,,,,
Imran Hossain,,,individual,guest artist,,Britto Arts Trust,,,,
Syed Fida Hossain,,,individual,guest artist,,Britto Arts Trust,,,,
Safiha Hossain,,,individual,guest artist,,Britto Arts Trust,,,,
Maynul Islam Paul,,,individual,guest artist,,Britto Arts Trust,,,,
Sarah Jabin,,,individual,guest artist,,Britto Arts Trust,,,,
Yasmin Jahan,,,individual,guest artist,,Britto Arts Trust,,,,
Md. Jaidul,,,individual,guest artist,,Britto Arts Trust,,,,
Bipul Jangcham,,,individual,guest artist,,Britto Arts Trust,,,,
Jinnatun Jannat,,,individual,guest artist,,Britto Arts Trust,,,,
Khushi Kabir,,,individual,guest artist,,Britto Arts Trust,,,,
Mohosin Kabir,,,individual,guest artist,,Britto Arts Trust,,,,
RA Kajol,,,individual,guest artist,,Britto Arts Trust,,,,
Kazi Sydul Karim,,,individual,guest artist,,Britto Arts Trust,,,,
Azizee Fawmi Khan,,,individual,guest artist,,Britto Arts Trust,,,,
Raj Kishore,,,individual,guest artist,,Britto Arts Trust,,,,
Basu Malakar,,,individual,guest artist,,Britto Arts Trust,,,,
Farah Naz Moon,,,individual,guest artist,,Britto Arts Trust,,,,
Md. Mostafa,,,individual,guest artist,,Britto Arts Trust,,,,
Bijonti Mree,,,individual,guest artist,,Britto Arts Trust,,,,
Ringchi Mree,,,individual,guest artist,,Britto Arts Trust,,,,
Khamree Mree,,,individual,guest artist,,Britto Arts Trust,,,,
Md. Musharaf Musa,,,individual,guest artist,,Britto Arts Trust,,,,
Lutfun Nahar,,,individual,guest artist,,Britto Arts Trust,,,,
Nijhum Zannatun Nahar,,,individual,guest artist,,Britto Arts Trust,,,,
Ema Nokrek,,,individual,guest artist,,Britto Arts Trust,,,,
Hanif Pappu,,,individual,guest artist,,Britto Arts Trust,,,,
Trishna Paul,,,individual,guest artist,,Britto Arts Trust,,,,
Abdur Rab,,,individual,guest artist,,Britto Arts Trust,,,,
Mahbubur Rahman,,,individual,guest artist,,Britto Arts Trust,,,,
Shree Ram,,,individual,guest artist,,Britto Arts Trust,,,,
Mojes Rema,,,individual,guest artist,,Britto Arts Trust,,,,
Bickrom Rema,,,individual,guest artist,,Britto Arts Trust,,,,
Moumita Rema,,,individual,guest artist,,Britto Arts Trust,,,,
Jewel A Rob,,,individual,guest artist,,Britto Arts Trust,,,,
Animes Roy,,,individual,guest artist,,Britto Arts Trust,,,,
Nayan Roy,,,individual,guest artist,,Britto Arts Trust,,,,
Pijush Roy,,,individual,guest artist,,Britto Arts Trust,,,,
Jeny Ruram,,,individual,guest artist,,Britto Arts Trust,,,,
Monjur Sagor,,,individual,guest artist,,Britto Arts Trust,,,,
Shimul Saha,,,individual,guest artist,,Britto Arts Trust,,,,
Shyamal Sarker,,,individual,guest artist,,Britto Arts Trust,,,,
Reetu Sattar,,,individual,guest artist,,Britto Arts Trust,,,,
Shahriar Shaon,,,individual,guest artist,,Britto Arts Trust,,,,
Arpita Singha Lopa,,,individual,guest artist,,Britto Arts Trust,,,,
Emran Sohel,,,individual,guest artist,,Britto Arts Trust,,,,
Mohammad Sultan,,,individual,guest artist,,Britto Arts Trust,,,,
Fareha Zeba,,,individual,guest artist,,Britto Arts Trust,,,,
Project Art Works,UK,Hubner Areal/ Fridericianum/ Stadtsmuseum Kassel,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/project-art-works/>,,
Kate Adams,,,individual,guest artist,,Project Art Works,,,,
Aida Ashall,,,individual,guest artist,,Project Art Works,,,,
Connor Ashley,,,individual,guest artist,,Project Art Works,,,,
Luke Bebb,,,individual,guest artist,,Project Art Works,,,,
Helen Carlton,,,individual,guest artist,,Project Art Works,,,,
Johnny Caroll Pell,,,individual,guest artist,,Project Art Works,,,,
Paul Colley,,,individual,guest artist,,Project Art Works,,,,
Andrew Cooper,,,individual,guest artist,,Project Art Works,,,,
Tim Corrigan,,,individual,guest artist,,Project Art Works,,,,
Jessica Courtney Bennett,,,individual,guest artist,,Project Art Works,,,,
Oliver Crowther,,,individual,guest artist,,Project Art Works,,,,
Natalie Dance,,,individual,guest artist,,Project Art Works,,,,
Mark Daniels,,,individual,guest artist,,Project Art Works,,,,
Sara Dare,,,individual,guest artist,,Project Art Works,,,,
Dion Downes,,,individual,guest artist,,Project Art Works,,,,
Sarah Dunn,,,individual,guest artist,,Project Art Works,,,,
Stanley Ellis,,,individual,guest artist,,Project Art Works,,,,
Gemma Evans,,,individual,guest artist,,Project Art Works,,,,
Amy Fenton,,,individual,guest artist,,Project Art Works,,,,
Patricia Finnegan,,,individual,guest artist,,Project Art Works,,,,
Siddharth Gadiyar,,,individual,guest artist,,Project Art Works,,,,
David Geall,,,individual,guest artist,,Project Art Works,,,,
Jo Goldman,,,individual,guest artist,,Project Art Works,,,,
Jack Goldsmith,,,individual,guest artist,,Project Art Works,,,,
Charlotte Hanlon,,,individual,guest artist,,Project Art Works,,,,
Lucy Jenion,,,individual,guest artist,,Project Art Works,,,,
Neville Jermyn,,,individual,guest artist,,Project Art Works,,,,
Annis Joslin,,,individual,guest artist,,Project Art Works,,,,
Eden Kötting,,,individual,guest artist,,Project Art Works,,,,
Thomas Lepora,,,individual,guest artist,,Project Art Works,,,,
Lucy,,,individual,guest artist,,Project Art Works,,,,
Holli Macnamara,,,individual,guest artist,,Project Art Works,,,,
Claire Matthews,,,individual,guest artist,,Project Art Works,,,,
Leila Mcmillan,,,individual,guest artist,,Project Art Works,,,,
Louise Newham,,,individual,guest artist,,Project Art Works,,,,
Sean Ormonde,,,individual,guest artist,,Project Art Works,,,,
India O’Sullivan,,,individual,guest artist,,Project Art Works,,,,
Magda Pata,,,individual,guest artist,,Project Art Works,,,,
Sharif Persaud,,,individual,guest artist,,Project Art Works,,,,
Phoebe Ellen Prebble,,,individual,guest artist,,Project Art Works,,,,
Peter Quinnell,,,individual,guest artist,,Project Art Works,,,,
Gabriella Rapisarda,,,individual,guest artist,,Project Art Works,,,,
Michelle Roberts,,,individual,guest artist,,Project Art Works,,,,
Wendy Routley,,,individual,guest artist,,Project Art Works,,,,
Georgie Scott,,,individual,guest artist,,Project Art Works,,,,
Carl Sexton,,,individual,guest artist,,Project Art Works,,,,
Maya Shapiro Steen,,,individual,guest artist,,Project Art Works,,,,
Will Shepherd,,,individual,guest artist,,Project Art Works,,,,
George Smith,,,individual,guest artist,,Project Art Works,,,,
Sam Smith,,,individual,guest artist,,Project Art Works,,,,
Darryl Spencer,,,individual,guest artist,,Project Art Works,,,,
Esther Springett,,,individual,guest artist,,Project Art Works,,,,
Charlotte Stephens,,,individual,guest artist,,Project Art Works,,,,
Martin Swan,,,individual,guest artist,,Project Art Works,,,,
Sarah T,,,individual,guest artist,,Project Art Works,,,,
Katie Taylor,,,individual,guest artist,,Project Art Works,,,,
Charlie Thomas,,,individual,guest artist,,Project Art Works,,,,
Christopher Tite,,,individual,guest artist,,Project Art Works,,,,
Annie Rose Waller,,,individual,guest artist,,Project Art Works,,,,
Marion Willis,,,individual,guest artist,,Project Art Works,,,,
Sebastián Díaz Morales and Simon Danang Anggoro,Argentina/Indoneisa,Hubner Areal,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/sebastian-diaz-morales-and-simon-danang-anggoro/>,,
Jimmie Durham & A Stick in the Forest by the Side of the Road,USA,KazimKuBa,individual,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/jimmie-durham/>,,
Giulia Grechi,,,individual,guest artist,,Jimmie Durham & A Stick in the Forest by the Side of the Road,,,,
Alessandra Marino Al-Mishlab,,,individual,guest artist,,Jimmie Durham & A Stick in the Forest by the Side of the Road,,,,
Micol Bez,,,individual,guest artist,,Jimmie Durham & A Stick in the Forest by the Side of the Road,,,,
Prof. Dr. Susanne Westhoff,,,individual,guest artist,,Jimmie Durham & A Stick in the Forest by the Side of the Road,,,,
Nicole Trigg,,,individual,guest artist,,Jimmie Durham & A Stick in the Forest by the Side of the Road,,,,
Matteo Calore,,,individual,guest artist,,Jimmie Durham & A Stick in the Forest by the Side of the Road,,,,
