lumbung membersartists,country,venue,"type  (individual, collective,)","status  (invited artist,guest artist, guest collaborator)",number of guests,invited by / invited as part of,comments/ subproject,website,role (harvester),guests
Christoph Plutte 柯冥,,,individual,guest artist,,BOLOHO,Contributors,,,
Elaine W. Ho 何颖雅,,,individual,guest artist,,BOLOHO,Contributors,,,
Feng Er 冯洱,,,individual,guest artist,,BOLOHO,Contributors,,,
Huangbian Station Contemporary Art Research Center站,,,collective,guest artist,,BOLOHO,Contributors,,,
He Xiting 何惜婷,,,individual,guest artist,,BOLOHO,Contributors,,,
He Yanfei 贺燕霏,,,individual,guest artist,,BOLOHO,Contributors,,,
Josh 小乔,,,individual,guest artist,,BOLOHO,Contributors,,,
Kwan Florence 关心芙,,,individual,guest artist,,BOLOHO,Contributors,,,
Li Cong 李聪,,,individual,guest artist,,BOLOHO,Contributors,,,
Li Mushi 李木时,,,individual,guest artist,,BOLOHO,Contributors,,,
Li Yu 李与,,,individual,guest artist,,BOLOHO,Contributors,,,
Lin Ruizhen 林瑞珍,,,individual,guest artist,,BOLOHO,Contributors,,,
Liu Yuerong 刘月容,,,individual,guest artist,,BOLOHO,Contributors,,,
Mambo Wong 王沛然,,,individual,guest artist,,BOLOHO,Contributors,,,
Mao Rujia 毛茹佳,,,individual,guest artist,,BOLOHO,Contributors,,,
Rachael Chan 陈可沂,,,individual,guest artist,,BOLOHO,Contributors,,,
Shao Yuezhu 邵月珠,,,individual,guest artist,,BOLOHO,Contributors,,,
Tan Jing 谭婧,,,individual,guest artist,,BOLOHO,Contributors,,,
Tang Shuhua 唐淑华,,,individual,guest artist,,BOLOHO,Contributors,,,
Wu Kairui 吴凯睿,,,individual,guest artist,,BOLOHO,Contributors,,,
Wu Wenli 吴文礼,,,individual,guest artist,,BOLOHO,Contributors,,,
Zeng Jiahui 曾嘉慧,,,individual,guest artist,,BOLOHO,Contributors,,,
Zhang Jiayi 禾,,,individual,guest artist,,BOLOHO,Contributors,,,
ZHENGKE 郑可,,,individual,guest artist,,BOLOHO,Contributors,,,
Zhu Jialiang 朱嘉良,,,individual,guest artist,,BOLOHO,,,,
Party Office b2b Fadescha,India,WH22,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/party-office-b2b-fadescha/>,,
Abhinit Khanna,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Ada Navarro,,,individual,guest artist,,Party Office b2b Fadescha,,,,
After Party Collective,,,collective,guest artist,,Party Office b2b Fadescha,,,,
Ali Akbar Mehta,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Allies for the Uncertain Futures,,,collective,guest artist,,Party Office b2b Fadescha,,,,
Amrish Kondurkar,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Aru,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Aum,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Anna Tje,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Benji Hart,,,individual,guest artist,,Party Office b2b Fadescha,,,,
c1,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Coranza de Robota,,,collective,guest artist,,Party Office b2b Fadescha,,,,
Dhrubo Jyoti,,,individual,guest artist,,Party Office b2b Fadescha,,,,
DINA,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Grace Banu,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Jasmine Infiniti,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Joey Cannizzaro,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Juliana Huxtable,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Jyotsna Siddharth,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Kinkinella,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Morenxxx,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Okhigobe Omonblanks Omonhimin,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Pêdra Costa,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Ramya Patnaik,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Shaunak Mahbubani,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Slim Soledad,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Tsohil Bhatia,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Vidha Saumya,,,individual,guest artist,,Party Office b2b Fadescha,,,,
Vidisha-Fadescha,,,individual,guest artist,,Party Office b2b Fadescha,,,,
ook_ [reinaart vanhoe,Netehrlands,ruruhaus,collective,invited artist,,ruanrupa,,<https://documenta-fifteen.de/en/lumbung-members-artists/ook_/>,,
Matin Abbas,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Almu,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Pauline Brämer,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Simon Browne,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Donata Clemens,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Zoë Cochia,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Cristina Cochior,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Philipp Colorado,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Florian Cramer,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Rieneke de Vries,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Angeliki Diakrousi,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Tamara Drath,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Sabine Dühring,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Josefina Dux,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Hannan El Mikdam-Lasslop,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Selma El Mikdam-Lasslop,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Estefanía,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Tilman Evers,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Jana Faßbender,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Philipp Firmbach,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Sara Hamadeh,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Carolin Angulo Hammes,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Ole Handschug,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Tomi Hilsee,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Niklas Holzhauer,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Araby Yakoub Ibrahim,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Stefany Karghoti,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Khalat Khalaf Khalil,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
Hannah Koerner,,,individual,guest artist,,ook_ [reinaart vanhoe,,,,
